Idusuario;Deslogin;Dessenha;Dtcadastro
1;root;123;2019-12-14 10:10:58
9;alexbotelho;1111111;2019-12-16 10:12:17
10;alexbotelho;1111111;2019-12-16 10:12:18
11;alexbotelho;1111111;2019-12-16 10:12:18
12;alexbotelho;1111111;2019-12-16 10:12:18
13;alexbotelho;1111111;2019-12-16 10:12:18
14;alexbotelho;1111111;2019-12-16 10:12:35
15;alexbotelho;1111111;2019-12-16 10:12:36
16;alexbotelho;1111111;2019-12-16 10:12:36
17;alexbotelho;1111111;2019-12-16 10:12:36
18;alexbotelho;1111111;2019-12-16 10:12:36
19;alexbotelho;123456;2019-12-16 10:12:36
20;alexbotelho;582;2019-12-16 10:12:36
21;alexbotelho;649;2019-12-16 10:12:37
22;alex;12345;2019-12-16 10:12:37
23;alexbotelho;1111111;2019-12-16 10:12:37
24;alexbotelho;12345;2019-12-16 10:12:37
25;alexbotelho;1111111;2019-12-16 10:12:37
26;alexbotelho;1111111;2019-12-16 10:12:37
27;alexbotelho;1111111;2019-12-16 10:12:37
28;alexbotelho;1111111;2019-12-16 10:12:37
30;Italo;852456;2019-12-16 10:12:37
31;alexbotelho;1111111;2019-12-16 10:14:18
32;alexbotelho;1111111;2019-12-16 10:14:18
33;Marcel;987654;2019-12-17 13:43:14
34;Marcel 2;456123;2019-12-17 13:47:16
35;alexbotelho;1111111;2019-12-17 13:57:18
36;alexbotelho;1111111;2019-12-17 13:58:33
